,w0,w1,w2,w3
exc_to_exc,-0.08818911676171787,1.0706278530576843,0.7349420031426542,-0.06869135018312449
exc_to_e23,0.022252080570411836,0.7929473555667749,0.6762778843393786,0.10695131506599645
exc_to_e4,-0.20552566575243691,1.3030173770161788,0.46240334420644036,-0.05878958217475331
exc_to_e5et,-0.28336383685500366,1.5667487236683724,0.8465823173337617,-0.08308738331767213
exc_to_e5it,0.10097645051371021,0.6604558616828025,0.5459273200252792,0.40141707880186034
exc_to_e5np,-0.029085034467778326,0.982944111648482,0.4675493753771463,-0.060638352178165655
exc_to_e6,-0.1093182578290327,1.104992782978474,0.382158038143036,-0.0331775852883764
exc_to_pv,0.7456538190332568,0.489614142483902,0.009430182666066003,0.005939654795937617
exc_to_sst,0.25455288275782917,0.9414405621997783,0.15170656500687707,0.008551402555445273
exc_to_vip,-0.07145610861958862,1.1105029762547898,0.22998735057333217,-0.022312317743522388
exc_to_inh,0.6298772546100395,0.5734099865949434,0.11675624109540464,-0.016421754985735663
e23_to_exc,0.07375539543363029,0.8317518081838827,0.5316834672243999,0.08917977716123916
e23_to_e23,0.005518451341446115,0.8181699905316455,0.6587731867891677,0.11255158073799018
e23_to_e4,-0.20552566576028847,1.303017377027257,0.4624033441993078,-0.05878958217253219
e23_to_e5et,-0.2865066798053648,1.5714857385732828,0.8432981297321083,-0.08203848204162807
e23_to_e5it,0.10150937304798816,0.6607741466728042,0.5446215330670923,0.4021921213203032
e23_to_e5np,-0.10931825783026264,1.104992782980327,0.3821580381419459,-0.03317758528807962
e23_to_e6,-0.03108407071775854,0.9859749574336536,0.4654372441660241,-0.059961499688469894
e23_to_pv,0.7860458223206251,0.4318849251162059,0.0023285290398478327,-0.0004821298518658118
e23_to_sst,0.3054599317335076,0.8122240087687495,0.1930220500032741,0.017019007924543056
e23_to_vip,-0.05803849591616307,1.0864733761826026,0.18051880318170938,-0.01767728411084534
e23_to_inh,0.5303502017788115,0.6828444654608934,0.0016657802556375167,0.015024590844480552
e4_to_exc,-0.1662343776792223,1.2191590434159556,0.7176240773507708,-0.07937433210494195
e4_to_e23,0.00839315585504874,0.8138755135976947,0.6617474871785141,0.11159510335111796
e4_to_e4,-0.20692490288600718,1.3386563465879062,0.48427137619360405,-0.060290508708418365
e4_to_e5et,-0.23865992471946007,1.2449520498734614,0.8265304803037493,-0.07332606718134255
e4_to_e5it,0.019771990497141456,0.7851458443041354,0.45769742506705274,0.43008994648048743
e4_to_e5np,-0.10931825782752821,1.1049927829766117,0.3821580381439209,-0.03317758528854741
e4_to_e6,-0.08521943264638221,1.0684981741960649,0.40757132764226267,-0.041318869485967774
e4_to_pv,0.8275399557901216,0.40534615645332633,0.050193753644184436,-0.0017270730073720292
e4_to_sst,0.31292775841182907,0.8526194534410725,0.21387683256126522,-0.011451605621000227
e4_to_vip,-0.07145610861308557,1.1105029762463547,0.22998735057817962,-0.022312317744769314
e4_to_inh,0.7925354100967305,0.25974851662827503,0.1088230906118853,0.10016626613410934
e5et_to_exc,-0.12283086674672478,1.5313995352252163,0.7185792713080148,-0.06365145775943293
e5et_to_e23,0.02449085068029294,0.7895617075389942,0.6786320505610679,0.10619805224548642
e5et_to_e4,-0.2055256657551094,1.303017377020749,0.4624033442030666,-0.05878958217366069
e5et_to_e5et,-0.24872768294869563,2.3476699241122247,0.5974539878239327,-0.07842158880082054
e5et_to_e5it,0.01977199052197498,0.7851458442678169,0.4576974250908715,0.43008994647333776
e5et_to_e5np,-0.10931825782958016,1.104992782979428,0.3821580381424219,-0.03317758528821698
e5et_to_e6,-0.09498206904800344,1.0832947621698086,0.39725832335270683,-0.03801254216411229
e5et_to_pv,0.7456538190312955,0.4896141424872759,0.00943018266329887,0.005939654796932342
e5et_to_sst,0.25455288276319354,0.9414405621904861,0.15170656501386742,0.00855140255313552
e5et_to_vip,-0.07145610864741708,1.1105029762995147,0.2299873505423442,-0.022312317734172277
e5et_to_inh,0.573260038711434,0.5922480248351679,0.04491972700991939,0.019147545605389397
e5it_to_exc,-0.0002007974138658608,0.795624918258667,0.7696999762194529,0.121672007426347
e5it_to_e23,-0.01000662843246529,0.8416357184682819,0.6425225215638624,0.11771751320770679
e5it_to_e4,-0.13340990085977333,1.1935241291263678,0.5388493907758203,-0.08332927806014567
e5it_to_e5et,-0.29802579706381316,1.5888418541298894,0.8312662231940019,-0.07819505820511713
e5it_to_e5it,0.011848521348909073,0.7375526454452284,0.5662998180838835,0.37711968740970536
e5it_to_e5np,-0.10931825783053234,1.1049927829807664,0.38215803814188365,-0.033177585288210694
e5it_to_e6,-0.060457953438016854,1.0307553495603026,0.43402275736055185,-0.04983382811695562
e5it_to_pv,0.5817896377714449,0.5215069631277293,0.009749168211436343,0.08853440139955064
