,w0,w1,w2,w3
exc_to_exc,-0.17851842892530145,1.207580246608568,0.639467179977502,-0.038080477715098315
exc_to_e23,0.04121294465228337,0.7641961721904167,0.6963332609300091,0.10051551026988716
exc_to_e4,-0.13160028556462644,1.1907209381850485,0.5408501152306293,-0.08398352935816028
exc_to_e5et,-0.2242217231263658,1.4772607023003614,0.9088405314466461,-0.10301638644720404
exc_to_e5it,0.019771945834909238,0.7851458165280734,0.45769752319039136,0.4300899177129874
exc_to_e5np,-0.04908256005082229,1.0134465006945066,0.44611942367743634,-0.05371545101898094
exc_to_e6,-0.07203067540336572,1.0484716738919895,0.4215577229004294,-0.04581048801028026
exc_to_pv,0.7456528619914511,0.48961533285707415,0.009429968536160696,0.005939706577700911
exc_to_sst,0.2545522654966104,0.9414409759140879,0.15170675851293397,0.008551383512702355
exc_to_vip,-0.0714560587351479,1.1105029843631633,0.2299872837495625,-0.022312305917268654
exc_to_inh,0.544260589332486,0.7002494896409694,0.03047497751938677,0.010714379776546434
e23_to_exc,0.1128897703003987,0.7723472769712272,0.5731462000759736,0.07587395964993145
e23_to_e23,-0.03816400789854024,0.8837343979689557,0.6135038706395054,0.12696549874987725
e23_to_e4,-0.20552591089735675,1.3030170248572273,0.46240397761752594,-0.058789658235297915
e23_to_e5et,-0.26110242026981323,1.5331263803127815,0.8699311039508626,-0.09055080144471203
e23_to_e5it,0.0867061465507468,0.6835076829666678,0.528634012200929,0.4073341080127874
e23_to_e5np,-0.10163777681546027,1.0933734531308676,0.3902405083547199,-0.035764512351803446
e23_to_e6,-0.10931821744173414,1.1049926114433586,0.38215815252213164,-0.033177566684372134
e23_to_pv,0.7547532288238523,0.4797147714789599,-0.03126074947069471,0.010343265709489964
e23_to_sst,0.3539943769704461,0.7463631671026287,0.24081978451462363,-0.004219287054131701
e23_to_vip,-0.058038574839241464,1.0864733751091356,0.1805188850749776,-0.01767729687458866
e23_to_inh,0.5303497435175628,0.6828449686939257,0.0016657364147449338,0.015024596807899145
e4_to_exc,-0.15017008021518918,1.1948047089069551,0.7346516926759629,-0.08486104487626556
e4_to_e23,0.018843209000335537,0.7980997555612327,0.6726972653300134,0.10809649845400746
e4_to_e4,-0.20692495552494808,1.338656065162788,0.48427171765278143,-0.06029053115591682
e4_to_e5et,-0.22516700302150933,1.2249994931778299,0.8401015228770273,-0.07759392090478213
e4_to_e5it,0.019771945816735248,0.7851458165562074,0.4576975231698132,0.43008991771995453
e4_to_e5np,-0.10931821744002437,1.104992611439628,0.3821581525255544,-0.03317756668569649
e4_to_e6,-0.042382745751457174,1.0030695163439363,0.45344389415743613,-0.05606691706495829
e4_to_pv,0.8234222901832017,0.4097972175527935,0.04844365961716503,-0.0015251745925508597
e4_to_sst,0.2545522655201461,0.9414409758782404,0.15170675853679702,0.008551383505565079
