,w0,w1,w2,w3
exc_to_exc,-0.14470190209192435,1.1565497292000182,0.6748731476188002,-0.04938996471312451
exc_to_e23,-0.023461723677728696,0.8617916001776675,0.6286156830844278,0.12214852892288025
exc_to_e4,-0.20552591088803795,1.3030170248441209,0.462403977626229,-0.05878965823783776
exc_to_e5et,-0.24681875476775117,1.5115140314980304,0.8849670562842036,-0.09536387919619727
exc_to_e5it,0.019771945810942396,0.7851458165651526,0.457697523163061,0.4300899177223778
exc_to_e5np,-0.025091054887750097,0.9767445597232878,0.4719859708640133,-0.06209346035167623
exc_to_e6,-0.10931821744615235,1.1049926114490374,0.38215815251913954,-0.033177566683719906
exc_to_pv,0.745652861988138,0.4896153328622755,0.009429968532376598,0.005939706578963942
exc_to_sst,0.254552265490133,0.9414409759224143,0.1517067585078197,0.008551383514344382
exc_to_vip,-0.07145605873087107,1.1105029843547178,0.22998728375698607,-0.022312305920169626
exc_to_inh,0.5442605893337598,0.7002494896393388,0.03047497752097547,0.010714379775838438
e23_to_exc,0.06763339688100578,0.8410013028194531,0.5252579526838776,0.09123431279434722
e23_to_e23,0.07492634260082395,0.7127173482184366,0.7325324444385024,0.08881517698656957
e23_to_e4,-0.20552591089137656,1.3030170248488226,0.46240397762330704,-0.058789658237023965
e23_to_e5et,-0.21488470039974145,1.4630443218777538,0.9187796539393736,-0.10620587572665638
e23_to_e5it,0.019771945833474885,0.7851458165319329,0.4576975231857077,0.43008991771527094
e23_to_e5np,-0.032339287116496473,0.9880038956292013,0.4639300536100535,-0.059454147269340285
e23_to_e6,-0.03057403126512559,0.9852924862116185,0.4658443681819856,-0.060073841340321094
e23_to_pv,0.7913084645134562,0.4256035909751486,0.005565602213574262,-0.001277620662605314
e23_to_sst,0.27934770704967427,0.8611101265460105,0.1599692413938292,0.021742220170971396
e23_to_vip,-0.058038574854136576,1.0864733751302336,0.18051888506153757,-0.01767729687043887
e23_to_inh,0.5303497435334268,0.6828449686708735,0.0016657364299469957,0.01502459680329632
e4_to_exc,-0.16768127236956165,1.221432569040439,0.7160298593120235,-0.0788750065439717
e4_to_e23,-0.01494726103537515,0.8488574811987217,0.6375756613404248,0.1193125681786516
e4_to_e4,-0.20692495553716714,1.338656065181084,0.48427171764038873,-0.060290531152067964
e4_to_e5et,-0.253720489361166,1.2681039814276243,0.8101833141286066,-0.0680344683889905
e4_to_e5it,0.019771945831724452,0.7851458165335459,0.4576975231849574,0.4300899177155853
e4_to_e5np,-0.10931821743222847,1.1049926114287185,0.38215815253244323,-0.03317756668780504
e4_to_e6,-0.040131301260307506,0.9999483659099202,0.4555021942752564,-0.05672424478409349
e4_to_pv,0.823422290183317,0.40979721755246623,0.048443659617549956,-0.0015251745927553212
e4_to_sst,0.25455226548186816,0.9414409759349825,0.1517067584993085,0.00855138351679282
e4_to_vip,-0.07145605873456726,1.1105029843608234,0.2299872837524291,-0.022312305918555736
e4_to_inh,0.8017495529218273,0.2457696219575306,0.11857792084618353,0.09703505380775135
e5et_to_exc,-0.12283077079787223,1.5313991564333294,0.7185795472177533,-0.06365144446881663
e5et_to_e23,0.01968335122351067,0.7968299770992476,0.6735795556849862,0.1078143814414721
e5et_to_e4,-0.2055259108914998,1.3030170248494926,0.4624039776229099,-0.05878965823699969
e5et_to_e5et,-0.24872769733466665,2.3476697640774398,0.5974541621884567,-0.07842160148936107
e5et_to_e5it,0.019771945816712433,0.785145816556322,0.4576975231692042,0.43008991772050204
e5et_to_e5np,-0.1093182174426284,1.1049926114423256,0.3821581525246867,-0.03317756668559477
e5et_to_e6,-0.10931821743910898,1.1049926114387014,0.38215815252585583,-0.0331775666856939
e5et_to_pv,0.7194831446659149,0.5288062881336446,-0.017464180446072335,0.014437900926121038
e5et_to_sst,0.25455226550092225,0.9414409759076134,0.15170675851700494,0.008551383511540285
e5et_to_vip,-0.07145605872665728,1.1105029843485732,0.22998728376114858,-0.022312305921437493
e5et_to_inh,0.6358841484833341,0.4993873621451216,0.1081752734627659,-0.0007476056972400003
e5it_to_exc,-0.03760378814174034,0.851461562924966,0.731144223531528,0.13401536395995156
e5it_to_e23,0.051943679383494756,0.7478466858759498,0.7077312418286131,0.0968781825898696
e5it_to_e4,-0.13750746176115403,1.1997620395822297,0.5344883158339495,-0.08192936457643277
e5it_to_e5et,-0.19672389844380256,1.4354750078119696,0.9380396678007714,-0.11239579910825051
e5it_to_e5it,0.02575224527652281,0.7164763753921354,0.5809934287968389,0.37240732883143685
e5it_to_e5np,-0.10931821744494702,1.104992611447091,0.3821581525205048,-0.033177566684097645
e5it_to_e6,-0.10931821743296834,1.1049926114303685,0.38215815253077146,-0.033177566686960924
e5it_to_pv,0.5817898354388258,0.5215067493441194,0.009749198955454966,0.08853440108748546
e5it_to_sst,0.2864583835422243,0.9704901016083447,0.11674066136709985,0.004828722293870914
e5it_to_vip,-0.07145605872725644,1.1105029843503262,0.22998728375946104,-0.02231230592078534
e5it_to_inh,0.335431712217037,0.8842634545353121,0.08883441037997634,0.010825805150778772
e5np_to_exc,-0.06661298139158778,1.0402278269344134,0.42732630200236144,-0.04766549992407518
e5np_to_e23,-0.015062197749621876,0.8492436629716608,0.6372796705749602,0.11937698386149556
e5np_to_e4,-0.2055259108717689,1.303017024820592,0.46240397764165925,-0.058789658242679295
e5np_to_e5et,-0.2201517298579479,1.4710702442367607,0.9131618056387263,-0.10440078554858995
e5np_to_e5it,0.019771945829214127,0.785145816538956,0.45769752317963996,0.4300899177176466
e5np_to_e5np,-0.10931821744314332,1.1049926114444246,0.38215815252229407,-0.033177566684697506
e5np_to_e6,-0.10931821744044896,1.1049926114410933,0.3821581525239616,-0.03317756668502502
e5np_to_pv,1.0378506119504143,1.117773152223864,-0.03165169177571811,0.005540744210260504
e5np_to_sst,0.2545522654887553,0.9414409759247342,0.15170675850654294,0.008551383514505767
e5np_to_vip,-0.07145605872810865,1.110502984350041,0.22998728376033978,-0.022312305921165135
e5np_to_inh,0.8035241025220631,0.9676520967795464,0.5554905909807828,-0.08198423985345463
e6_to_exc,-0.10931821743216086,1.1049926114277253,0.38215815253381447,-0.03317756668831516
e6_to_e23,0.011858364347332118,0.8086429129101274,0.6653795142773922,0.11043486140147118
e6_to_e4,-0.20552591089673466,1.3030170248587967,0.46240397761485397,-0.05878965823398877
e6_to_e5et,-0.2611024202670206,1.5331263803094088,0.869931103952676,-0.09055080144521424
e6_to_e5it,0.01977194581802305,0.7851458165561633,0.4576975231681374,0.430089917721012
