tau_syn_fast tau_syn_slow amp_slow
1.790988 2.9794259999999997 0.655948012
1.713944 4.387939 0.591166735
1.752015 2.9032210000000003 0.358321335
1.831846 2.617188 1.085956081
1.738189 5.986493 0.683532491
0.9051629999999999 2.234186 0.228489325
1.275798 2.950206 0.336968131
1.677748 2.7383529999999996 0.255722653
1.041746 2.555199 0.257822593
1.592609 4.273618 0.514413726
0.9051629999999999 2.052688 0.190025013
1.275798 3.3245050000000003 0.299216913
1.665913 2.7383529999999996 0.198527338
1.059403 2.646776 0.200583362
0.757973 1.556182 1.125581924
0.787452 2.214935 1.253265738
1.5635709999999998 2.6423750000000004 1.082136427
1.5635709999999998 2.167371 1.651059509
1.03993 3.078579 0.198122659
1.738189 4.339727 0.683532491
1.798432 5.762523000000001 0.683674117
1.0616510000000001 5.035707 0.163495613
1.2322279999999999 2.6920859999999998 0.358850886
1.203475 2.8198730000000003 0.296006412
1.473467 6.161352 0.400112434
1.37036 6.161352 0.390248474
1.503045 6.161352 0.400112434
1.8332229999999998 6.161352 0.400112434
1.2279179999999998 6.153356 0.291507733
1.0368359999999999 3.547021 0.296207412
1.6485919999999998 2.461139 1.208519459
1.05981 3.547021 0.319710817
2.5108449999999998 4.411053 0.841789252
2.5108449999999998 3.730986 1.00343365
1.503045 4.411053 0.841789252
1.8332229999999998 4.411053 0.841789252
1.201421 4.411053 0.841789252
1.8209000000000002 3.3994 0.570987239
1.603124 3.560444 0.296983816
1.576748 3.9822889999999997 0.455758074
1.653704 3.529839 0.415644434
1.503045 5.573707 0.423690074
1.536659 5.135783 0.5992863
1.8332229999999998 7.238139 0.773026295
1.201421 6.3354800000000004 0.560133172
1.1219439999999998 3.932195 0.331878269
1.683826 3.395966 0.510920624
1.576748 3.830618 0.584422106
1.217727 3.551767 0.366514565
2.4563319999999997 3.932195 0.660294458
2.2280450000000003 3.395966 0.550285314
2.4563319999999997 3.169289 0.660294458
