,w0,w1,w2,w3
exc_to_exc,-0.06237881292018632,1.0313966440595412,0.7623596928652864,-0.07749835262724858
exc_to_e23,-0.012995908104536075,0.8461272612177201,0.639424164298204,0.11870141574416852
exc_to_e4,-0.20552566575646614,1.3030173770218907,0.46240334420318085,-0.05878958217407902
exc_to_e5et,-0.24422642527279204,1.5075899561279713,0.8876977771347716,-0.09623812698929812
exc_to_e5it,0.01977199050452405,0.7851458442923152,0.4576974250750974,0.43008994647810256
exc_to_e5np,-0.10931825782893367,1.1049927829783968,0.38215803814309857,-0.03317758528842468
exc_to_e6,-0.10931825783782902,1.104992782991326,0.3821580381346343,-0.03317758528588345
exc_to_pv,0.7456538190369566,0.4896141424789864,0.009430182668958481,0.005939654795115497
exc_to_sst,0.25455288276151844,0.9414405621945174,0.15170656501026855,0.008551402554417657
exc_to_vip,-0.07145610861023893,1.1105029762409797,0.22998735058267453,-0.022312317746422727
exc_to_inh,0.5442615806855726,0.7002483728342646,0.030475115467364228,0.010714358241592017
e23_to_exc,0.05005486580845808,0.8676036541422865,0.5068505801357284,0.0970701574541275
e23_to_e23,0.0599906633037192,0.7357881029132646,0.7161773878853566,0.09411796091550442
e23_to_e4,-0.2055256657459971,1.303017377005699,0.46240334421482066,-0.05878958217783932
e23_to_e5et,-0.18582462354575036,1.418936371426728,0.949578389138795,-0.1160974284476676
e23_to_e5it,0.019771990495373787,0.7851458443075471,0.4576974250629428,0.43008994648251975
e23_to_e5np,-0.10931825783016225,1.1049927829802604,0.38215803814175725,-0.03317758528797352
e23_to_e6,-0.10931825783581821,1.1049927829881536,0.38215803813678084,-0.03317758528649246
e23_to_pv,0.7547542012930906,0.47971358340953485,-0.031260555718536615,0.01034321861913795
e23_to_sst,0.27934832052828473,0.8611096994335248,0.15996907231231375,0.021742230364182248
e23_to_vip,-0.05803849591595911,1.0864733761831606,0.18051880318005462,-0.017677284109861177
e23_to_inh,0.5303502017906438,0.6828444654445945,0.0016657802658521376,0.015024590841463311
e4_to_exc,-0.186808549110124,1.25044427860315,0.6957981227027962,-0.0723874404805977
e4_to_e23,0.04423098716394379,0.7597058456412698,0.6994446664034283,0.09951014599502414
e4_to_e4,-0.20692490288747797,1.3386563465912034,0.4842713761906618,-0.0602905087072987
e4_to_e5et,-0.28303715577296457,1.312487027829693,0.7795140063396531,-0.0583378408647224
e4_to_e5it,0.07702887212324933,0.6978476100432507,0.5189804938002217,0.41031142927721775
e4_to_e5np,-0.10931825783106675,1.1049927829812676,0.38215803814139493,-0.0331775852879252
e4_to_e6,-0.10931825782834956,1.1049927829772954,0.38215803814392846,-0.033177585288651015
e4_to_pv,0.8197651194331873,0.4063408780291384,0.04811056527133015,0.003627753780926994
e4_to_sst,0.25455288277843935,0.9414405621706184,0.15170656502537794,0.008551402549961507
e4_to_vip,-0.07145610858240625,1.1105029761968228,0.2299873506145,-0.02231231775663349
e4_to_inh,0.7744428749871501,0.2872127461081157,0.0895670919630962,0.10640259718043261
e5et_to_exc,-0.07049886600395772,1.452067981565882,0.7738805098341492,-0.08138226409099969
e5et_to_e23,0.06372443367936134,0.7299154468433638,0.7203718282418806,0.09276287176386343
e5et_to_e4,-0.12945590609597812,1.187516924496999,0.5430517690966219,-0.08468199492261105
e5et_to_e5et,-0.24872768294986008,2.3476699241126147,0.597453987827509,-0.07842158879622885
e5et_to_e5it,0.019771990496398356,0.7851458443052683,0.4576974250653223,0.43008994648155185
e5et_to_e5np,-0.10931825782486077,1.1049927829727348,0.38215803814672633,-0.03317758528953926
e5et_to_e6,-0.10931825782780595,1.1049927829762158,0.3821580381449269,-0.03317758528906032
e5et_to_pv,0.7729379304038817,0.4499531444796774,0.035819373671629545,-0.0021797874032655346
e5et_to_sst,0.25455288274554877,0.9414405622162716,0.15170656499718146,0.008551402557971467
e5et_to_vip,-0.07145610860795637,1.1105029762394738,0.2299873505823148,-0.022312317745911914
e5et_to_inh,0.5732600387111089,0.5922480248362838,0.044919727008658206,0.0191475456058688
e5it_to_exc,-0.008056800284695353,0.8075197272373182,0.7614381087355008,0.12430749972331721
e5it_to_e23,-0.005491772635439318,0.8347879499216421,0.6472654653263903,0.11621449479385725
e5it_to_e4,-0.20552566573162026,1.303017376981637,0.4624033442325889,-0.05878958218374451
e5it_to_e5et,-0.20301279501582126,1.4450697943760082,0.931309104552275,-0.11022773048493253
e5it_to_e5it,0.04859774454475971,0.681351008556967,0.6059087259792472,0.3642866845911931
e5it_to_e5np,-0.10931825782204393,1.104992782968185,0.38215803814969496,-0.0331775852902829
e5it_to_e6,-0.10931825783092068,1.1049927829817543,0.38215803814060123,-0.03317758528758975
e5it_to_pv,0.5817896377691446,0.5215069631319718,0.009749168208280964,0.08853440140049186
e5it_to_sst,0.2864587945087451,0.9704899149893426,0.1167404406032688,0.004828731489264902
e5it_to_vip,-0.07145610861811098,1.110502976252103,0.22998735057565362,-0.022312317744373283
e5it_to_inh,0.3354314105327007,0.8842638605732687,0.0888342941599852,0.010825792835893688
e5np_to_exc,-0.10931825782893377,1.104992782978449,0.3821580381430388,-0.03317758528837634
e5np_to_e23,0.04065403662695527,0.76507091948835,0.6956954256133772,0.100729630034337
e5np_to_e4,-0.20552566577080084,1.3030173770432496,0.46240334418795637,-0.05878958216901361
e5np_to_e5et,-0.239619135311962,1.5006133772533172,0.8925559811467041,-0.09779460769259243
e5np_to_e5it,0.01977199048713564,0.7851458443188268,0.4576974250565201,0.4300899464841109
e5np_to_e5np,-0.10931825783571275,1.1049927829885033,0.3821580381359544,-0.033177585286078386
e5np_to_e6,-0.02904037053354691,0.9826708155010332,0.4678847447483996,-0.06078232461954197
e5np_to_pv,1.0378511494646718,1.1177730084520618,-0.03165210615345898,0.00554081812583436
e5np_to_sst,0.2545528827667083,0.9414405621860213,0.1517065650162332,0.00855140255267045
e5np_to_vip,-0.023620842373308415,1.0398024167121007,0.2789605816464349,-0.038706450780779285
e5np_to_inh,0.7280522613579773,1.0827165640734153,0.47495049517571597,-0.05616317283669174
e6_to_exc,-0.10931825783702068,1.104992782990859,0.38215803813454635,-0.03317758528573358
e6_to_e23,0.011331775443277736,0.8094355888643925,0.6648338918114352,0.11060713064588003
e6_to_e4,-0.20552566575262615,1.3030173770157967,0.462403344207596,-0.05878958217551786
e6_to_e5et,-0.2512066309681188,1.518158718364881,0.8803404915377435,-0.0938820763789712
e6_to_e5it,0.019771990485324173,0.7851458443198306,0.45769742505724204,0.43008994648337506
e6_to_e5np,-0.042755445049848295,1.0038776497281574,0.4528036372907078,-0.05587096987802537
e6_to_e6,-0.10931825781939775,1.1049927829649229,0.38215803815194,-0.03317758529107981
e6_to_pv,1.0378511494493434,1.1177730084765645,-0.03165210617070219,0.005540818131307593
