,w0,w1,w2,w3,w4
exc_to_exc,-0.05278214540582429,0.4099308837091525,1.1705386850324677,0.13328328818154495,-0.007364328686044239
exc_to_e23,-0.09885615640971762,0.5972065597428142,0.626620765403972,0.3567439380761732,0.10135230076905971
exc_to_e4,-0.0798063572610393,0.43505509456079916,1.2500069610457356,-0.10059526741893232,0.0184307094482368
exc_to_e5et,-0.04758808165420769,0.3461186880582361,1.7457023311108961,0.0402419853132735,-0.0006867951766595937
exc_to_e5it,-0.1621685005830072,0.8117416540338238,0.24478328544543965,0.410458156071112,0.3704940104485342
exc_to_e5np,-0.10502136833072867,0.6697749280788476,0.6569517069732833,0.1916568136272716,-0.057457575185060214
exc_to_e6,-0.07700629235246573,0.5307319530848461,0.891487942893344,0.0023905826037031175,0.007027340508610577
exc_to_pv,0.612756071861569,0.56361560914551,0.01033631666687937,0.06608002194554821,-0.014508087804517112
exc_to_sst,0.06583693887959047,0.9317346965057274,0.21539747200210643,0.1458791440636521,-0.018889978268333087
exc_to_ssttac1,0.6818482407540396,0.4465295586280409,0.09316377317307316,0.03866969047418674,-0.011656530201855392
exc_to_vip,-0.08830877741728957,0.6511998836542588,0.7259406622839725,-0.04964725717761767,0.012325978593930906
exc_to_inh,0.34900198433126844,0.8165720686388034,0.009009906269106693,0.11470032299839276,-0.021905515024821416
e23_to_exc,-0.10452084785574564,0.8231092576572803,0.31468156816960635,0.44697479397280593,0.029125570080886218
e23_to_e23,-0.09466039172663243,0.6282719281047477,0.54877437093237,0.42780480824372746,0.0758881414117617
e23_to_e4,-0.07980635717413115,0.43505509437329437,1.2500069612324294,-0.10059526752295173,0.018430709475608265
e23_to_e5et,-0.04758808166104905,0.3461186880697372,1.7457023311071032,0.04024198530904466,-0.0006867951734144118
e23_to_e5it,-0.16216850050292514,0.8117416538722713,0.2447832855974865,0.41045815598988533,0.3704940104697375
e23_to_e5np,-0.077006292301139,0.530731952972689,0.8914879430054428,0.0023905825417890325,0.007027340524663084
e23_to_e6,-0.07700629230098248,0.5307319529775573,0.8914879429967407,0.002390582548772835,0.007027340522186315
e23_to_pv,0.7445646318806678,0.3585880980071288,0.12391025052110981,-0.0014657900992238945,-0.005613267754320646
