sim_name,n_neurons,n_edges,batch_size,seq_len,mean_rate,sem_rate,mean_step_time,sem_step_time,mean_gpu_memory,sem_gpu_memory,mode
,66652,55681990,10,4000,0.0039,0.0000,63.4964,0.1755,22.3584,0.1425,"test"
,66652,55687209,10,4000,0.0039,0.0000,63.8089,0.1261,22.5420,0.0000,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.7288,0.1920,21.3975,0.0957,"test"
,66652,55681990,10,4000,0.0039,0.0000,65.3515,0.3499,21.7217,0.2467,"test"
,66652,55681990,10,4000,0.0039,0.0000,64.0134,0.2187,24.9131,0.0372,"test"
,66652,55687209,10,4000,0.0038,0.0000,62.4733,0.1614,21.7451,0.0438,"test"
,66652,55681990,10,4000,0.0038,0.0000,60.5996,0.1524,21.2217,0.0622,"test"
,66652,55681990,10,4000,0.0038,0.0000,62.9351,0.1249,21.1240,0.0485,"test"
,66652,55681990,10,4000,0.0038,0.0000,63.1657,0.1343,21.4951,0.1602,"test"
,66652,55687209,10,4000,0.0040,0.0000,64.0745,0.1599,21.3506,0.0591,"test"
,66652,55681990,10,4000,0.0040,0.0000,61.7631,0.2048,21.8315,0.1097,"test"
,66652,55681990,10,4000,0.0040,0.0000,63.8530,0.1480,22.2927,0.0003,"test"
,66652,55681990,10,4000,0.0038,0.0000,62.6356,0.1441,21.4678,0.0462,"test"
,66652,55687209,10,4000,0.0039,0.0000,63.3032,0.1247,22.3232,0.0000,"test"
,66652,55681990,10,4000,0.0039,0.0000,60.8386,0.1774,21.2217,0.0335,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.3872,0.1630,21.6084,0.0160,"test"
,66652,55681990,10,4000,0.0039,0.0000,62.7942,0.1546,22.4482,0.0000,"test"
,66652,55687209,10,4000,0.0039,0.0000,63.6501,0.1918,21.9482,0.1169,"test"
,66652,55681990,10,4000,0.0039,0.0000,60.8028,0.1541,21.9170,0.0000,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.2512,0.1146,21.9248,0.1389,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.5217,0.1703,22.1553,0.1279,"test"
,66652,55681990,10,4000,0.0039,0.0000,61.3344,0.2220,21.2529,0.0048,"test"
,66652,55687209,10,4000,0.0039,0.0000,63.2303,0.2402,21.4795,0.0000,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.4856,0.2110,21.0420,0.0982,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.5995,0.2057,21.5225,0.1230,"test"
,66652,55681990,10,4000,0.0040,0.0000,62.3976,0.2872,21.0750,0.0002,"test"
,66652,55687209,10,4000,0.0041,0.0000,65.0173,0.2593,21.3193,0.0831,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.4248,0.1502,21.2061,0.0434,"test"
